station,regex
Paco de Lucía,Paco ?de ?Luc(i|í)a
Mirasierra,Mirasierra
Herrera Oria,Herrera ?Oria
Barrio del Pilar,Barrio ?del ?Pilar
Ventilla,Ventilla
Plaza de Castilla,Plaza ?de ?Castilla
Duque de Pastrana,Duque ?de ?Pastrana
Pío XII,P(i|í)o ?XII
Colombia,Colombia
Concha Espina,Concha ?Espina
Cruz del Rayo,Cruz ?del ?Rayo
Avenida de América,Avenida ?de ?Am(e|é)rica
Núñez de Balboa,N(u|ú)ñez ?de ?Balboa
Príncipe de Vergara,Pr(i|í)ncipe ?de ?Vergara
Ibiza,Ibiza
Sainz de Baranda,Sainz ?de ?Baranda
Estrella,Estrella
Vinateros,Vinateros
Artilleros,Artilleros
Pavones,Pavones
Valdebernardo,Valdebernardo
Vicálvaro,Vic(a|á)lvaro
San Cipriano,San ?Cipriano
Puerta de Arganda,Puerta ?de ?Arganda
Rivas-Urbanizaciones,Rivas-Urbanizaciones
Rivas Futura,Rivas ?Futura
Rivas-Vaciamadrid,Rivas-Vaciamadrid
La Poveda,La ?Poveda
Arganda del Rey,Arganda ?del ?Rey
Colonia Jardín,Colonia ?Jard(i|í)n
Ciudad de la Imagen,Ciudad ?de ?la ?Imagen
José Isbert,Jos(e|é) ?Isbert
Ciudad del Cine,Ciudad ?del ?Cine
Cocheras,Cocheras
Retamares,Retamares
Retamares Oeste,Retamares ?Oeste
Montepríncipe,Montepr(i|í)ncipe
Ventorro del Cano,Ventorro ?del ?Cano
Prado del Espino,Prado ?del ?Espino
Ciudad Financiera Este,Ciudad ?Financiera ?Este
Cantabria,Cantabria
Ciudad Financiera Oeste,Ciudad ?Financiera ?Oeste
Ferial de Boadilla,Ferial ?de ?Boadilla
Boadilla Centro,Boadilla ?Centro
Nuevo Mundo,Nuevo ?Mundo
Siglo XXI,Siglo ?XXI
Infante Don Luis,Infante ?Don ?Luis
Puerta de Boadilla,Puerta ?de ?Boadilla
Nuevos Ministerios,Nuevos ?Ministerios
Colombia,Colombia
Pinar del Rey,Pinar ?del ?Rey
Mar de Cristal,Mar ?de ?Cristal
Feria de Madrid,Feria ?de ?Madrid
Aeropuerto T1-T2-T3,Aeropuerto ?T1-T2-T3
Barajas,Barajas
Aeropuerto T4,Aeropuerto ?T4
Pinar de Chamartín,Pinar ?de ?Chamart(i|í)n
Fuente de la Mora,Fuente ?de ?la ?Mora
Virgen del Cortijo,Virgen ?del ?Cortijo
Antonio Saura,Antonio ?Saura
Álvarez de Villaamil,(a|á)lvarez ?de ?Villaamil
Blasco Ibañez,Blasco ?Ibañez
María Tudor,Mar(i|í)a ?Tudor
Palas de Rey,Palas ?de ?Rey
Las Tablas,Las ?Tablas
Colonia Jardín,Colonia ?Jard(i|í)n
Prado de la Vega,Prado ?de ?la ?Vega
Colonia de los Ángeles,Colonia ?de ?los ?(a|á)ngeles
Prado del Rey,Prado ?del ?Rey
Somosaguas Sur,Somosaguas ?Sur
Somosaguas Centro,Somosaguas ?Centro
Pozuelo Oeste,Pozuelo ?Oeste
Prado de las Bodegas,Prado ?de ?las ?Bodegas
Bélgica,B(e|é)lgica
Dos Castillas,Dos ?Castillas
Campus de Somosaguas,Campus ?de ?Somosaguas
Avenida de Europa,Avenida ?de ?Europa
Berna,Berna
Estación de Aravaca,Estaci(o|ó)n ?de ?Aravaca
Hospital del Henares,Hospital ?del ?Henares
Henares,Henares
Jarama,Jarama
San Fernando,San ?Fernando
La Rambla,La ?Rambla
Coslada Central,Coslada ?Central
Barrio del Puerto,Barrio ?del ?Puerto
Estadio Metropolitano,Estadio ?Metropolitano
Las Musas,Las ?Musas
San Blas,San ?Blas
Simancas,Simancas
García Noblejas,Garc(i|í)a ?Noblejas
Ascao,Ascao
Pueblo Nuevo,Pueblo ?Nuevo
Barrio de la Concepción,Barrio ?de ?la ?Concepci(o|ó)n
Parque de las Avenidas,Parque ?de ?las ?Avenidas
Cartagena,Cartagena
Avenida de América,Avenida ?de ?Am(e|é)rica
Gregorio Marañón,Gregorio ?Marañ(o|ó)n
Alonso Cano,Alonso ?Cano
Canal,Canal
Islas Filipinas,Islas ?Filipinas
Guzmán el Bueno,Guzm(a|á)n ?el ?Bueno
Francos Rodríguez,Francos ?Rodr(i|í)guez
Valdezarza,Valdezarza
Antonio Machado,Antonio ?Machado
Peñagrande,Peñagrande
Avenida de la Ilustración,Avenida ?de ?la ?Ilustraci(o|ó)n
Lacoma,Lacoma
Arroyofresno,Arroyofresno
Pitis,Pitis
Plaza Elíptica,Plaza ?El(i|í)ptica
Abrantes,Abrantes
